ABN MMS ID,Network Id,ABN035,Aleph ID,Network Number
990007369700108281,991047416349705501,(ABN)000736970ABN01,000736970-ABN01,(CH-ZuSLS)991047416349705501; (IDSBB)005849635DSV01; 062905236; (swissbib)062905236-41slsp_network
990001183200108281,991009779919705501,(ABN)000118320ABN01,000118320-ABN01,(CH-ZuSLS)991009779919705501; (NEBIS)004477538EBI01; 15757797X; (swissbib)15757797X-41slsp_network
990000917670108281,991120464109705501,(ABN)000091767ABN01,000091767-ABN01,(CH-ZuSLS)991120464109705501; (IDSLU)000122948ILU01; (NEBIS)001889819EBI01; (IDSBB)001494102DSV01; 237776650; (swissbib)237776650-41slsp_network
990001328180108281,991158971359705501,(ABN)000132818ABN01,000132818-ABN01,(CH-ZuSLS)991158971359705501; (IDSSG)000254851HSB01; (IDSLU)000230235ILU01; (IDSBB)002411049DSV01; (NEBIS)004554925EBI01; 228299969; (swissbib)228299969-41slsp_network
990004734230108281,991082172009705501,(ABN)000473423ABN01,000473423-ABN01,(CH-ZuSLS)991082172009705501; (IDSBB)003514455DSV01; (RERO)0053975-41slsp; 228480116; (swissbib)228480116-41slsp_network
990006160600108281,991142074359705501,(ABN)000616060ABN01,000616060-ABN01,(CH-ZuSLS)991142074359705501; (OCoLC)666904066; (IDSLU)000986988ILU01; 007495706; (swissbib)007495706-41slsp_network
990008058770108281,991042398289705501,(ABN)000805877ABN01,000805877-ABN01,(CH-ZuSLS)991042398289705501; (OCoLC)958468676; (IDSSG)000883819HSB01; (IDSLU)001285655ILU01; (NEBIS)010735619EBI01; 230058736; (swissbib)230058736-41slsp_network
990003249240108281,991033060049705501,(ABN)000324924ABN01,000324924-ABN01,(CH-ZuSLS)991033060049705501; (IDSBB)006969155DSV01; (IDSSG)000774874HSB01; (NEBIS)009113974EBI01; (IDSLU)000451763ILU01; 241921406; (swissbib)241921406-41slsp_network
990004509510108281,991047925769705501,(ABN)000450951ABN01,000450951-ABN01,(CH-ZuSLS)991047925769705501; (IDSBB)003416020DSV01; (IDSLU)001015069ILU01; 234000708; (swissbib)234000708-41slsp_network
990007990200108281,991044843449705501,(ABN)000799020ABN01,000799020-ABN01,(CH-ZuSLS)991044843449705501; (RERO)R007277244-41slsp; 117230987; (swissbib)117230987-41slsp_network
